stock_code,stock_name
7112.KL,7112.KL
0094.KL,INIX TECHNOLOGIES HOLDINGS BHD
0147.KL,INNITY CORPORATION BHD
6262.KL,INNOPRISE PLANTATIONS BERHAD
3379.KL,INSAS BHD
0088.KL,0088.KL
9555.KL,9555.KL
1961.KL,IOI CORPORATION BHD
5673.KL,IPMUDA BHD
0069.KL,VIVOCOM INTL HOLDINGS BERHAD
5107.KL,IQ GROUP HOLDINGS BHD
2127.KL,COMFORT GLOVES BERHAD
8834.KL,IREKA CORPORATION BHD
7183.KL,IRE-TEX CORPORATION BHD
0010.KL,IRIS CORPORATION BHD
7220.KL,7220.KL
0131.KL,DIVERSIFIED GATEWAY SOLUTIONS
9393.KL,INDUSTRONICS BHD
7223.KL,JADI IMAGING HOLDINGS BHD
4723.KL,JAKS RESOURCES BERHAD
8648.KL,JASA KITA BHD
2747.KL,JAVA BERHAD
7152.KL,JAYCORP BHD
5161.KL,JCY INTERNATIONAL BERHAD
8931.KL,JERASIA CAPITAL BHD
6394.KL,6394.KL
9083.KL,KUMPULAN JETSON BHD
0146.KL,JF TECHNOLOGY BHD
0127.KL,JHM CONSOLIDATION BHD
7043.KL,JMR CONGLOMERATION BHD
0058.KL,JCBNEXT BERHAD
3441.KL,JOHAN HOLDINGS BHD
7167.KL,JOHORE TIN BHD
7104.KL,7104.KL
7092.KL,7092.KL
4383.KL,JAYA TIASA HOLDINGS BHD
2615.KL,2615.KL
0111.KL,K-ONE TECHNOLOGY BHD
5096.KL,5096.KL
8672.KL,KAMDAR GROUP(M)BHD
0077.KL,0077.KL
0054.KL,KARYON INDUSTRIES BHD
6653.KL,6653.KL
7216.KL,KAWAN FOOD BHD
7182.KL,EKA NOODLES BERHAD
5079.KL,KBES BHD
3115.KL,KARAMBUNAI CORP BHD
7199.KL,KEIN HING INTERNATIONAL BHD
6769.KL,JKG LAND BERHAD
7323.KL,KEN HOLDINGS BHD
6483.KL,K & N KENANGA HOLDINGS BHD
5122.KL,5122.KL
7030.KL,7030.KL
9334.KL,KESM INDUSTRIES BHD
3565.KL,KUMPULAN EUROPLUS BHD
0143.KL,KEY ASIC BHD
0095.KL,XINGHE HOLDINGS BERHAD
3492.KL,3492.KL
6491.KL,KUMPULAN FIMA BHD
8303.KL,KUANTAN FLOUR MILLS BHD
0151.KL,KELINGTON GROUP BERHAD
6203.KL,KHEE SAN BHD
7062.KL,KHIND HOLDINGS BHD
6246.KL,6246.KL
6211.KL,KIA LIM BHD
3522.KL,KIAN JOO CAN FACTORY BHD
5371.KL,KIM HIN INDUSTRY BHD
5060.KL,KINSTEEL BHD
9466.KL,KKB ENGINEERING BHD
5089.KL,5089.KL
2445.KL,KUALA LUMPUR KEPONG BHD
2453.KL,KLUANG RUBBER CO (M) BHD
5027.KL,KIM LOONG RESOURCES BHD
7164.KL,KNM GROUP BHD
5035.KL,KNUSFORD BHD
6971.KL,KOBAY TECHNOLOGY BHD
7017.KL,KOMARKCORP BHD
6157.KL,6157.KL
